Subject,partial_url
Archaeology,/university-rankings/university-subject-rankings/2018/archaeology
Architecture,/university-rankings/university-subject-rankings/2018/architecture
Art & Design,/university-rankings/university-subject-rankings/2018/art-design
Classics & Ancient History,/university-rankings/university-subject-rankings/2018/classics-ancient-history
English Language & Literature,/university-rankings/university-subject-rankings/2018/english-language-literature
History,/university-rankings/university-subject-rankings/2018/history
Linguistics,/university-rankings/university-subject-rankings/2018/linguistics
Modern Languages,/university-rankings/university-subject-rankings/2018/modern-languages
Performing Arts,/university-rankings/university-subject-rankings/2018/performing-arts
Philosophy,/university-rankings/university-subject-rankings/2018/philosophy
"Theology, Divinity & Religious Studies",/university-rankings/university-subject-rankings/2018/theology-divinity-religious-studies
Computer Science & Information Systems,/university-rankings/university-subject-rankings/2018/computer-science-information-systems
Engineering Chemical ,/university-rankings/university-subject-rankings/2018/engineering-chemical
Engineering CiviI & Structural,/university-rankings/university-subject-rankings/2018/engineering-civil-structural
Engineering Electrical & Electronic,/university-rankings/university-subject-rankings/2018/engineering-electrical-electronic
"Engineering Mechanical, Aeronautical & Manufacturing",/university-rankings/university-subject-rankings/2018/engineering-mechanical
Engineering Mineral & Mining,/university-rankings/university-subject-rankings/2018/engineering-mineral-mining
Agriculture & Forestry,/university-rankings/university-subject-rankings/2018/agriculture-forestry
Anatomy & Physiology,/university-rankings/university-subject-rankings/2018/anatomy-physiology
Biological Sciences,/university-rankings/university-subject-rankings/2018/biological-sciences
Dentistry,/university-rankings/university-subject-rankings/2018/dentistry
Medicine,/university-rankings/university-subject-rankings/2018/medicine
Nursing,/university-rankings/university-subject-rankings/2018/nursing
Pharmacy & Pharmacology,/university-rankings/university-subject-rankings/2018/pharmacy-pharmacology
Psychology,/university-rankings/university-subject-rankings/2018/psychology
Veterinary Science,/university-rankings/university-subject-rankings/2018/veterinary-science
Chemistry,/university-rankings/university-subject-rankings/2018/chemistry
Earth & Marine Sciences,/university-rankings/university-subject-rankings/2018/earth-marine-sciences
Environmental Sciences,/university-rankings/university-subject-rankings/2018/environmental-studies
Geography,/university-rankings/university-subject-rankings/2018/geography
Materials Science,/university-rankings/university-subject-rankings/2018/materials-sciences
Mathematics,/university-rankings/university-subject-rankings/2018/mathematics
Physics & Astronomy,/university-rankings/university-subject-rankings/2018/physics-astronomy
Accounting & Finance,/university-rankings/university-subject-rankings/2018/accounting-finance
Anthropology,/university-rankings/university-subject-rankings/2018/anthropology
Business & Management Studies,/university-rankings/university-subject-rankings/2018/business-management-studies
Communication & Media Studies,/university-rankings/university-subject-rankings/2018/communication-media-studies
Development Studies,/university-rankings/university-subject-rankings/2018/development-studies
Economics & Econometrics,/university-rankings/university-subject-rankings/2018/economics-econometrics
Education & Training,/university-rankings/university-subject-rankings/2018/education-training
Hospitality & Leisure Management,/university-rankings/university-subject-rankings/2018/hospitality-leisure-management
Law,/university-rankings/university-subject-rankings/2018/law-legal-studies
Library & Information Management,/university-rankings/university-subject-rankings/2018/library-information-management
Politics & International Studies,/university-rankings/university-subject-rankings/2018/politics
Social Policy & Administration,/university-rankings/university-subject-rankings/2018/social-policy-administration
Sociology,/university-rankings/university-subject-rankings/2018/sociology
Sports-related Subjects,/university-rankings/university-subject-rankings/2018/sports-related-subjects
Statistics & Operational Research,/university-rankings/university-subject-rankings/2018/statistics-operational-research
